iter	Passed	Remaining
0	0	22
1	0	19
2	0	18
3	0	16
4	0	15
5	1	18
6	1	17
7	1	16
8	1	16
9	1	17
10	2	17
11	2	17
12	2	16
13	2	16
14	2	15
15	2	15
16	3	14
17	3	14
18	3	13
19	3	13
20	3	12
21	3	12
22	3	12
23	3	12
24	4	12
25	4	11
26	4	11
27	4	11
28	4	11
29	4	11
30	4	10
31	5	10
32	5	10
33	5	10
34	5	10
35	5	9
36	5	9
37	5	9
38	6	9
39	6	9
40	6	9
41	6	8
42	6	8
43	6	8
44	6	8
45	7	8
46	7	8
47	7	7
48	7	7
49	7	7
50	7	7
51	7	7
52	8	7
53	8	7
54	8	6
55	8	6
56	8	6
57	9	6
58	9	6
59	9	6
60	9	6
61	9	5
62	9	5
63	9	5
64	10	5
65	10	5
66	10	5
67	10	4
68	10	4
69	10	4
70	11	4
71	11	4
72	11	4
73	11	4
74	11	3
75	11	3
76	11	3
77	11	3
78	12	3
79	12	3
80	12	2
81	12	2
82	12	2
83	12	2
84	12	2
85	12	2
86	13	1
87	13	1
88	13	1
89	13	1
90	13	1
91	13	1
92	13	1
93	14	0
94	14	0
95	14	0
96	14	0
97	14	0
98	14	0
99	14	0
